state,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,4,7,10,14,16,26,37,48,56,77,90,95,106,120,151,175,204,224,258,283,317,349,369,385,408,433,440,463,484,497,502,511,524,535,547,568,574,578,580,586,590,595,597,599,600,602,605,609,610,611,611,612,615,616,619,619,620,621,623,624,627,627,628,629,630,630,631,633,637,632,633,633,633,633,634,637,639,641,642,642,643,643,644,653,661,663,664,670,673,680,694,711,716,724,728,732,750,777,791,802,804,807,821,836,850,856,883,884,901,909,929,957,981,1005,1012,1053,1076,1112,1139,1181,1201,1222,1243,1271,1290,1312,1332,1359,1371,1396,1413,1468,1526,1597,1660,1688,1734,1842,1966,2088,2174,2219,2425,2568,2740,2891,3092,3323,3475,3615,3733,3935,4289,4520,4802,5019,5192,5326,5586,5821,6049
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,9,11,23,31,42,47,50,73,123,189,232,262,310,415,526,669,891,1012,1076,1100,1170,1210,1232,1366,1425,1438,1457,1499,1538,1587,1609,1655,1668,1672,1736,1766,1802,1836,1870,1887,1897,1917,1952,1984,2016,2035,2061,2059,2106,2127,2158,2178,2205,2230,2232,2261,2294,2325,2352,2389,2419,2421,2455,2476,2506,2534,2595,2626,2650,2664,2699,2731,2770,2804,2840,2855,2908,2935,2990,3054,3111,3139,3153,3197,3226,3262,3303,3354,3399,3413,3472,3543,3634,3744,3871,4006,4025,4267,4412,4650,4869,5149,5319,5543,5770,6124,6379,6688,7034,7431,7799,8222,8582,9004,9598,10073,10584,10971,11531,11962,12599,13261,13879,14433,14960,15380,15899,16395,16862,17411,17920,18262,18836,19318,19810,20378,20853,21231,21465,21838,22357,22854,23510,24073,24593,24797,25267,25767,26280,26814,27312,27620,27794,28113,28486,28829,29252,29510
Illinois,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,6,6,7,11,19,25,32,46,66,94,104,159,286,420,583,751,1047,1285,1535,1874,2538,3029,3547,4615,5070,5992,6978,7695,8904,10357,11276,12262,13549,15078,16422,17887,19180,20852,22025,23247,24593,25734,27575,29160,30357,31508,33059,35108,36935,39658,41777,43903,45883,48102,50355,52918,56055,58505,61499,63840,65889,68164,70802,73688,76008,77662,79123,83168,84874,88081,90528,92669,94360,96778,98298,100713,102995,105710,108100,110541,112248,113486,114612,116128,117794,119290,120588,121666,123244,124279,125149,126317,127251,128070,129543,130321,130889,131731,132489,133117,133719,134247,134866,135416,136081,136917,137535,138154,138615,139282,140025,140935,141812,142536,143117,143885,144661,145541,146407,147293,148151,148730,149428,150110,151055,152188,153406,154530,155355,156288,157055,158451,159676,161042,162299,163284,164552,165534,167142,168766,170376,171669,173079,174442,175588,176967,178832,180701,182232,183714,185238,186598,188474,190465,192482,194531,195897,197326,198919,200648,202577,204827,206505,208068,209942,211806,213888,215903,218111
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,11,12,12,15,19,24,30,39,56,81,128,204,264,371,484,661,992,1239,1522,1797,2177,2578,3056,3455,3975,4437,4986,5544,5986,6400,6960,7494,7990,8300,8598,9030,9619,10235,10730,11301,11784,12214,12575,13196,13848,14567,15187,16137,16783,17409,18099,18941,19629,20267,20855,21423,22286,22942,23620,24239,24633,25134,25676,26044,26627,27281,27919,28419,28897,29402,29986,30673,31165,31674,32151,32489,32856,33242,33885,34399,35064,35429,35684,36129,36609,37005,37499,37928,38328,38553,38985,39297,39714,40114,40535,40901,41422,41780,42036,42480,42801,43135,43496,43709,43967,44260,44779,45269,45707,46071,46370,46740,47116,47553,48099,48628,49203,49560,49859,50309,50829,51567,52358,52892,53327,54001,54698,55413,56160,57045,57965,58607,59344,60126,61079,62081,63030,63881,64417,65258,65918,66883,67800,68773,69531,70111,70944,71685,72741,73986,75025,76071,76734,77625,78337,79404,80507,81561,82304,82909,83799,84308,85257,86312
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,16,17,18,22,22,29,38,44,45,68,90,105,124,147,179,236,298,336,424,498,549,614,699,786,868,946,1048,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2915,3175,3641,3764,3939,4459,5109,5490,5868,6376,6843,7145,7883,8641,9169,9703,10111,10404,11059,11457,11671,11959,12373,12912,13289,13675,14049,14328,14651,14955,15296,15868,16170,16510,16898,17434,17628,17999,18446,18672,19019,19336,19621,19789,20017,20376,20943,21332,21527,21794,22111,22271,22733,23103,23455,23792,23959,24110,24263,24616,24959,25424,25552,26020,26217,26470,26897,27384,27828,28203,28520,28874,29152,29618,30259,30631,31167,31612,31764,32153,32716,33316,34232,34695,35410,35631,35942,36536,37414,37903,38314,38813,39343,39721,40208,40796,41434,41886,42357,42696,42928,43623,44285,44753,45293,45723,45905,46231,46836,47559,47920,48311,48919,49164,49521,49973,50678,51272,52065,52447,52829,53201,53541,54653,55331
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,8,9,11,17,22,35,49,57,66,82,102,134,173,213,272,333,374,435,489,554,625,702,769,854,905,1055,1116,1180,1282,1337,1384,1440,1503,1595,1732,1820,1897,2030,2114,2291,2626,2842,3091,3198,3407,3601,3811,4305,4510,4863,5177,5385,5627,5893,6240,6751,6923,7045,7161,7352,7552,7668,8006,8059,8066,8439,8488,8661,8771,9068,9119,9135,9272,9352,9453,9513,9826,9847,9878,10103,10143,10281,10332,10493,10517,10549,10724,10786,10931,10984,11152,11195,11247,11516,11569,11801,11886,12168,12218,12258,12576,12659,13110,13207,13729,13767,14016,14568,14629,15142,15226,16015,16165,16289,17082,17157,17807,18031,18799,18983,19295,20265,20347,21157,21273,22199,22238,22459,23544,23606,24376,24518,25403,25464,25649,26439,26494,27177,27244,28121,28147,28341,29200,29259,30047,30153,30966,30992,31145,32094,32181,32977,33087,34246,34294,34495,35544,35632,36333,36588,37411
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,7,7,11,11,18,21,22,26,35,47,63,84,103,124,157,198,248,302,394,439,480,590,674,747,762,909,1048,1057,1289,1393,1525,1702,1851,1963,2048,2210,2295,2429,2522,2707,2960,3050,3193,3373,3548,3779,3905,4074,4146,4375,4538,4708,4879,4881,5223,5370,5822,5946,6173,6298,6469,6486,6710,7003,7102,7397,7578,7773,7793,8041,8205,8336,8475,8688,8812,8842,8899,9175,9313,9510,9688,9887,9937,10150,10287,10485,10781,11051,11359,11393,11701,11891,12029,12128,12352,12605,12652,12863,12899,13190,13391,13629,13800,13919,14073,14323,14522,14793,15033,15337,15480,15657,15916,16114,16370,16655,16709,16712,17464,17820,18204,18576,19076,19530,19762,20127,20702,21148,21617,22162,22750,23600,23978,24638,25169,25828,26628,27395,27682,28250,28876,29479,30132,30981,31612,31966,32500,33209,33823,34435,35147,35986,36316,36739,37437,38546,39306,40012,40677,40883,41610,42270,42958,44025,44432
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,14,36,77,103,137,196,280,392,537,763,837,1172,1388,1795,2305,2746,3315,3539,4024,5237,6424,9152,10299,12500,13014,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25317,25798,26199,26571,26832,27111,27329,27703,28044,28754,29183,29383,29746,30069,30472,30725,30928,31490,31673,31881,32116,32728,33555,33903,34183,34498,34832,35161,35439,36627,37048,37165,37293,37916,38252,38694,38907,38907,39682,40021,40452,40857,41244,41673,42100,42597,42927,43163,43725,44143,44585,45108,46396,46732,47284,47818,48746,49506,48627,49497,49890,50352,51708,52590,53528,54882,54882,56349,57189,58203,60286,61669,63397,63397,65334,66435,68371,70259,72102,74744,76911,78230,79935,82150,84241,86521,88700,88700,91816,95002,96693,99466,101762,103846,103846,107686,110029,111150,112887,114595,116394,116394,119861,120960,124575,126061,127364,128864,128864,131517,132079,133243,134427,135562,136860,136860,138041,138608,139248,140044,140962,141861
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,12,17,32,43,52,57,70,89,107,118,142,155,168,211,253,275,303,344,376,432,456,470,499,519,537,560,586,616,633,698,734,770,796,827,847,867,875,888,907,937,965,990,1015,1023,1040,1056,1095,1123,1152,1185,1205,1226,1254,1330,1374,1408,1436,1462,1477,1515,1565,1603,1648,1687,1713,1741,1819,1877,1948,2013,2055,2074,2109,2137,2189,2226,2282,2325,2349,2377,2418,2446,2482,2524,2570,2588,2606,2637,2667,2721,2757,2793,2810,2819,2836,2878,2913,2938,2957,2971,2994,3017,3070,3102,3154,3191,3219,3253,3294,3328,3373,3397,3415,3423,3440,3460,3486,3499,3520,3539,3558,3566,3578,3598,3636,3646,3687,3711,3723,3723,3737,3757,3790,3814,3832,3838,3866,3888,3912,3937,3958,3970,3975,3992,3997,4014,4026,4042,4049,4050,4070,4089,4115,4144,4168,4197,4213,4234,4252,4285
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,9,13,13,18,27,32,39,57,85,108,150,195,245,290,349,423,581,790,1066,1244,1415,1662,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694,8225,8936,9472,10096,10851,11641,12379,12892,13750,14261,14842,15805,16693,17844,18664,19574,20200,20942,21825,23566,24568,25561,26509,27217,28263,29476,30592,31638,32693,33483,34174,34927,36021,37105,38083,38920,39882,41664,42442,43645,44539,45608,46919,47754,48290,49042,50334,51631,52662,53456,54035,54831,55617,56490,57407,58099,58593,59024,59543,60114,60823,61262,61935,62328,62653,63004,63565,63839,64150,64565,64903,65202,65602,65934,66397,66704,67032,67360,67837,68152,68502,69015,69422,69724,69957,70497,70986,71455,72037,72503,73060,73705,74124,74836,75576,76237,76941,77773,78698,79251,80111,80738,81396,82326,83617,84306,85436,86091,86846,87740,88907,89925,90835,91705,92416,93000,93598,94395,95157,96065,96821,97403,97959,98728,99430,100237,100772,101276,101780,102215,102783,103461
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,8,13,28,41,92,95,108,123,138,164,197,218,256,328,413,525,646,777,1159,1838,2417,3240,4257,4955,5752,6620,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28163,29918,32181,34402,36372,38077,39643,41199,42944,46023,50969,53348,54938,56462,58302,60265,62205,64311,66263,68087,69087,70271,72025,73721,75333,76743,77793,78462,79332,80497,82182,83421,84933,86010,87052,87925,88970,90084,90889,91662,92675,93271,93693,94220,94895,95512,96301,96965,100805,101163,101592,102063,102557,103132,103436,103626,103889,104156,104667,105059,105395,105603,105690,105885,106151,106422,106650,106936,107061,107210,107439,107611,107837,108070,108443,108667,108768,108882,109143,109338,109628,109838,109974,110137,110338,110602,110897,111110,111398,111597,111827,112130,112347,112581,112879,113238,113534,113789,114033,114320,114647,114985,115268,115637,115926,116182,116684,117098,117612,118040,118458,118657,119203,119643,119874,120291,120711,121040,121315,121707,122000,122423,122728,123199,123593,123841,124063,124415,124728,125216
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,25,33,53,54,65,80,334,548,787,1033,1324,1791,2293,2877,3655,4634,5486,6508,7629,9292,10791,12669,14225,15633,17129,18851,20220,21375,22646,23855,24496,25490,26845,27894,29120,29954,30718,31349,31929,32936,33973,35253,36628,37302,38003,38457,39469,40443,41348,42348,43191,43803,43996,44391,45079,45643,46319,46735,47116,47526,47946,48307,49489,49982,50416,51054,51853,52337,52988,53468,53865,54304,54616,54816,55040,55544,55944,56589,56848,57355,58435,58680,58990,59215,63744,64196,64615,64911,65190,65377,65627,65881,66024,66246,66302,66466,66694,66980,67300,67721,67873,68144,68373,68711,69159,69473,69802,70042,70356,70850,71279,71853,72306,72702,73027,73403,74011,74660,75247,75871,76499,76936,77354,78045,79081,79977,80752,81384,81935,82486,83184,83891,84585,85238,85665,86750,87329,88025,89026,89926,90752,91450,91857,92503,93293,94045,94819,95632,96328,96835,97472,98361,98825,99963,100813,101831,102323,102872,103527,104235,104771,104829
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,9,14,21,35,54,60,77,89,115,138,171,235,264,289,346,398,442,504,576,629,689,742,789,865,935,986,1069,1154,1242,1335,1427,1621,1650,1695,1809,1912,2071,2213,2356,2470,2567,2721,2942,3185,3446,3602,3816,4181,4644,5136,5730,6228,6663,7234,7851,8579,9364,10087,10789,11270,11798,12493,12916,13443,14240,14969,15677,16372,17038,17679,18209,19014,19854,20582,21324,21969,22474,22957,23541,24200,24860,25218,25518,25881,26284,26991,27512,27897,28235,28534,28900,29347,29826,30203,30502,30724,30913,31328,31707,32063,32499,32952,33259,33501,33798,34158,34651,35068,35584,35896,36338,36753,37247,37661,37661,38173,38606,39170,39627,40201,40805,41609,42319,42810,43208,43782,44387,45053,45510,46244,47147,47497,48001,48761,49528,50331,51193,51843,52321,52987,53732,54503,55228,55987,56600,57202,57820,58681,59226,60142,60939,61557,61880,62349,63039,63769,64459,65198,65762,66107,66664,67354,68179
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,10,12,21,34,50,80,140,207,249,320,376,486,579,669,759,848,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4274,4512,4716,4894,5153,5434,5718,5911,6094,6342,6569,6815,7212,7441,7550,7877,8207,8424,8686,9090,9378,9501,9674,9908,10090,10483,10801,11123,11296,11432,11704,11967,12222,12624,13005,13252,13458,13731,14044,14372,14790,15229,15501,15752,16020,16322,16560,16769,17034,17270,17768,18109,18483,18483,19091,19348,19516,19799,20152,20641,21022,21022,21022,21022,22287,22898,23424,24516,25066,25531,25899,26568,27248,27900,28770,29684,30674,30900,31257,32214,32888,33591,34622,35419,36287,36680,37542,38567,39797,40829,41846,42638,43889,45524,47071,48053,49663,51097,52304,52957,54299,55804,57579,58747,59881,60553,61125,62199,63444,64400,65436,66646,67173,67649,68293,69374,69986,70930,71755,72136,72412,73207,74555,75449,76323
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,5,9,16,21,35,73,93,130,183,255,384,508,670,837,902,1049,1350,1580,1834,2113,2291,2367,2722,3037,3327,3539,3799,4024,4160,4388,4686,4895,5111,5283,5517,5667,5807,5941,6137,6321,6625,6826,6997,7171,7306,7426,7563,7840,8154,8454,8776,8919,9164,9409,9573,9737,9906,10025,10124,10369,10490,10567,10794,11069,11225,11369,11510,11657,11797,11922,12114,12296,12437,12624,12815,12949,13118,13297,13523,13822,14020,14286,14515,14659,14985,15159,15396,15662,15924,16111,16327,16384,16712,16930,17151,17488,17780,18155,18552,18733,19148,19478,20076,20567,20909,21254,21748,22275,22595,23085,23620,24061,24334,24850,25566,26343,27301,28060,28649,29173,29781,30817,31737,32596,33536,34363,35154,36044,37248,38454,39923,41224,42310,43477,44813,46225,47683,49671,51045,51985,52550,53650,54854,55919,57145,58284,58673,59866,60845,61900,63328,64885,66257,67400,68457,69836,70700,71744,73070,74157
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,8,12,19,19,29,34,45,51,65,90,121,147,161,177,198,219,241,262,281,298,319,319,332,354,365,377,387,394,399,404,415,422,426,433,433,437,439,442,444,445,448,449,451,451,452,452,454,454,456,456,456,456,458,458,458,459,461,462,462,466,468,468,470,471,478,479,479,479,479,479,479,481,485,493,505,515,519,523,525,537,539,540,545,548,554,561,563,573,588,601,609,614,630,655,666,698,717,734,743,766,803,829,852,863,919,967,1016,1083,1128,1167,1212,1249,1327,1371,1466,1593,1677,1758,1908,2038,2149,2265,2383,2471,2533,2640,2741,2840,2924,3113,3260,3342,3406,3491,3695,3829,3977,4081,4193,4249,4360,4481,4621,4771,4889,4952,5032,5125,5292,5430,5564,5663,5751,5810,5867,5976,6095,6239
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,14,14,16,16,17,23,24,27,29,31,33,36,43,47,53,61,62,73,77,84,91,102,122,138,185,199,249,273,297,339,377,438,491,538,594,678,718,805,870,930,994,1094,1216,1348,1473,1646,1726,1826,2190,2474,2898,3126,3487,3613,3876,4332,4838,5332,5686,6123,6442,6771,7190,7830,8233,8328,8575,8732,9072,9411,9766,10220,10348,10625,10846,11119,11423,11661,11988,12133,12354,12618,12975,13260,13654,13905,14101,14345,14611,14866,15117,15379,15543,15634,15752,15888,16025,16315,16513,16634,16735,16860,17031,17226,17415,17591,17707,17810,17957,18091,18220,18346,18524,18775,18900,19064,19194,19325,19476,19660,19826,19937,20052,20205,20437,20658,20834,21035,21214,21444,21717,21979,22178,22361,22545,22637,22847,23190,23486,23818,24174,24412,24618,24899,25140,25448,25766,26211,26391,26702,26956,27178,27489,27821,28104,28245,28432,28696,29030,29244,29660,29988,30241,30372,30563,30825,31040,31351,31626
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,7,11,19,21,26,45,55,82,99,165,165,190,265,315,405,535,621,738,920,1044,1113,1279,1458,1549,1758,1880,1971,2101,2318,2456,2606,2720,2860,3036,3137,3212,3321,3524,3626,3710,3830,3937,4081,4208,4398,4539,4638,4708,4812,4934,5053,5249,5390,5473,5627,5665,5744,5858,5942,6046,6120,6152,6311,6482,6604,6733,6810,6935,7059,7169,7301,7404,7531,7769,7886,7959,8059,8150,8247,8375,8519,8628,8701,8858,8950,9118,9306,9494,9673,9815,10046,10216,10464,10704,10992,11199,11316,11673,11852,12164,12525,12977,13236,13575,14058,14460,14911,15359,16400,17187,17971,18582,19151,19871,20878,21671,22518,22930,23848,24378,25055,25961,26912,27745,28597,29669,30587,32024,33372,34606,35826,36805,37605,38759,40088,41013,41993,42919,43880,44991,45937,47034,48142,49207,50270,51236,52256,52919,53705,54633,55481,56278,57022,57608,58132,58812,59800,60648,61374,62022,62752,63127,63699,64573
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,5,5,6,7,7,13,17,26,39,44,55,65,78,101,108,137,158,187,214,258,314,367,415,479,540,621,669,715,747,788,819,885,929,985,1020,1091,1139,1211,1287,1342,1392,1447,1491,1588,1670,1720,1793,1864,1938,2010,2054,2146,2310,2429,2518,2588,2636,2741,2843,2947,3011,3071,3160,3239,3299,3382,3464,3556,3596,3652,3721,3868,3935,4014,4089,4149,4197,4231,4286,4389,4492,4545,4651,4685,4749,4795,4876,4953,5019,5043,5079,5132,5178,5209,5251,5299,5318,5345,5364,5436,5450,5486,5518,5544,5558,5571,5598,5638,5671,5717,5747,5760,5782,5802,5822,5857,5871,5897,5914,5932,5952,5973,5991,6024,6054,6068,6091,6113,6139,6165,6188,6203,6249,6262,6295,6318,6375,6415,6436,6441,6500,6513,6544,6583,6613,6634,6660,6693,6719,6742,6779,6818,6831,6840,6861,6887,6921,6964,6980,6988,7004,7017,7036,7050,7071
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,11,15,23,29,50,75,98,176,268,427,735,896,1336,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,34124,37505,41090,44416,47437,51027,54588,58151,61850,64584,68824,71030,75317,78467,81420,85301,88806,92387,95865,99989,102196,105523,109038,111188,113856,116264,118652,121190,123717,126744,128269,130593,131890,133635,135454,137085,138532,139945,140743,141560,142704,143905,145089,146334,148039,149013,150399,151472,152719,153104,154154,155092,155764,156628,157815,158844,159608,160445,160918,161545,162068,162530,163336,163893,164164,164497,164796,165346,165816,166164,166605,166881,167103,167426,167703,168107,168496,168834,169142,169415,169734,169892,172050,172438,172727,173036,173126,173521,173782,174212,174598,174889,175258,175467,175734,175986,176217,176575,176906,177245,177469,177862,178252,178475,178525,178788,178757,178937,179230,179565,179807,180265,180778,181283,181732,182215,182475,182845,183535,183904,184225,184489,184845,185180,185554,185914,186282,186626,186884,187328,187777,188433,189003,189281,189294,189606,189937,190256,190356,190646
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,13,17,21,23,28,35,43,57,65,83,100,113,136,191,210,237,282,315,363,403,495,544,624,686,794,865,989,1090,1174,1245,1345,1407,1484,1597,1711,1798,1845,1971,2072,2210,2379,2524,2662,2728,2825,2975,3213,3411,3513,3732,3850,4030,4137,4290,4492,4673,4778,4863,5069,5212,5364,5503,5662,5847,5938,6096,6192,6338,6472,6625,6795,6943,7026,7130,7252,7364,7493,7624,7689,7800,8024,8140,8353,8672,8800,8940,9062,9105,9250,9368,9526,9621,9723,9845,9933,10065,10153,10260,10430,10565,10694,10838,10990,11192,11408,11619,11809,11982,12147,12276,12520,12776,13063,13256,13507,13727,14017,14251,14549,14773,15028,15291,15514,15841,16138,16456,16736,16971,17215,17517,17828,18163,18475,18788,19053,19502,19791,20136,20388,20600,20796,21016,21130,21340,21566,21773,21965,22115,22315,22444,22643,22816,22987,23160,23302,23408,23500,23579,23749,23951,24095
New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,22,44,89,106,142,173,217,326,421,610,732,950,1375,2387,4161,7113,10371,15188,20899,25704,33117,39058,44746,53517,59783,67504,76211,84364,93360,103689,115963,124085,133389,141703,151271,162036,172830,182990,191425,197973,205375,217130,225761,233293,240542,246741,251608,255932,261591,267932,276218,286901,292914,296991,300276,304994,309696,313575,318134,321833,324357,326659,329405,332931,335804,338519,340657,342267,343705,345828,348192,350951,353136,355037,356278,357757,359235,361313,362991,364745,366346,367625,368669,369801,371559,373108,374471,375575,376520,377881,378924,379977,381019,382102,382879,383591,384281,384945,385669,386490,387402,388096,388719,389349,389910,390536,391330,392037,392702,393257,393855,394430,395168,395972,396669,397293,397684,398142,398770,399642,400561,401286,401822,402338,402928,403619,404207,404997,405724,406403,406962,407875,408709,409476,410254,411006,411515,412034,412889,413595,414405,415163,415911,416443,417056,417591,418302,419081,419723,420477,421008,421550,422296,422935,423629,424349,425055,425568,426046,426713,427419,428155,428879,429617,430226,430636,431298,431924,432523,433230
